Year,Athlete,Time
1966,Bobbi Gibb,3:21:40
1967,Bobbi Gibb,3:27:17
1968,Bobbi Gibb,3:30:00
1969,Sara Mae Berman,3:22:46
1970,Sara Mae Berman,3:05:07
1971,Sara Mae Berman,3:08:30
1972,Nina Kuscsik,3:10:26
1973,Jacqueline Hansen,3:05:59
1974,Miki Gorman,2:47:11
1975,Liane Winter,2:42:24
1976,Kim Merritt,2:47:10
1977,Miki Gorman,2:48:33
1978,Gayle Barron,2:44:52
1979,Joan Benoit,2:35:15
1980,Jacqueline Gareau,2:34:28
1981,Allison Roe,2:26:46
1982,Charlotte Teske,2:29:33
1983,Joan Benoit,2:22:43
1984,Lorraine Moller,2:29:28
1985,Lisa Larsen Weidenbach,2:34:06
1986,Ingrid Kristiansen,2:24:55
1987,Rosa Mota,2:25:21
1988,Rosa Mota,2:24:30
1989,Ingrid Kristiansen,2:24:33
1990,Rosa Mota,2:25:24
1991,Wanda Panfil,2:24:18
1992,Olga Markova,2:23:43
1993,Olga Markova,2:25:27
1994,Uta Pippig,2:21:45
1995,Uta Pippig,2:25:11
1996,Uta Pippig,2:27:12
1997,Fatuma Roba,2:26:23
1998,Fatuma Roba,2:23:21
1999,Fatuma Roba,2:23:25
2000,Catherine Ndereba,2:26:11
2001,Catherine Ndereba,2:23:53
2002,Margaret Okayo,2:20:43
2003,Svetlana Zakharova,2:25:19
2004,Catherine Ndereba,2:24:27
2005,Catherine Ndereba,2:25:12
2006,Rita Jeptoo,2:23:38
2007,Lidiya Grigoryeva,2:29:18
2008,Dire Tune,2:25:25
2009,Salina Kosgei,2:32:16
2010,Teyba Erkesso,2:26:11
2011,Caroline Kilel,2:22:36
2012,Sharon Cherop,2:31:50
2013,Rita Jeptoo,2:26:25
2014,Rita Jeptoo,2:18:57
2014,Bizunesh Deba,2:19:59
2015,Caroline Rotich,2:24:55
2016,Atsede Baysa,2:29:19
2017,Edna Kiplagat,2:21:52
