hour,total_injured,total_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed
0,6400,35,1317,18,547,4,4559,13
1,3957,26,650,13,253,2,3057,11
2,3284,31,519,13,184,0,2595,18
3,2844,33,421,15,130,1,2291,17
4,3459,41,543,17,117,2,2823,22
5,3332,35,574,18,140,2,2627,15
6,4697,40,1227,28,255,6,3249,6
7,6641,26,1727,16,488,6,4456,4
8,11981,25,3102,16,804,5,8154,4
9,10034,35,2482,22,847,5,6773,7
10,8799,33,2212,25,715,1,5916,7
11,9563,33,2363,26,896,0,6323,7
12,10634,44,2573,25,1013,3,7094,16
13,11657,34,2700,24,1155,2,7870,8
14,13720,43,3373,25,1329,4,9078,15
15,13793,46,3499,32,1236,2,9103,14
16,15564,46,3587,25,1533,1,10503,20
17,15852,70,4256,46,1671,11,10006,14
18,15533,59,4541,33,1801,5,9301,21
19,12971,61,3788,36,1619,5,7663,20
20,11813,47,3278,33,1522,1,7063,13
21,9763,47,2523,31,1194,4,6079,12
22,8971,47,1944,29,893,3,6165,15
23,7367,39,1433,24,637,7,5317,8
