Year,time_men,time_women
1897,175,
1898,162,
1899,174,
1900,159,
1901,149,
1902,163,
1903,161,
1904,158,
1905,158,
1906,165,
1907,144,
1908,145,
1909,173,
1910,148,
1911,141,
1912,141,
1913,145,
1914,145,
1915,151,
1916,147,
1917,148,
1918,149,
1919,149,
1920,149,
1921,138,
1922,138,
1923,143,
1924,149,
1925,153,
1926,145,
1927,160,
1928,157,
1929,153,
1930,154,
1931,166,
1932,153,
1933,151,
1934,152,
1935,152,
1936,153,
1937,153,
1938,155,
1939,148,
1940,148,
1941,150,
1942,146,
1943,148,
1944,151,
1945,150,
1946,149,
1947,145,
1948,151,
1949,151,
1950,152,
1951,147,
1952,151,
1953,138,
1954,140,
1955,138,
1956,134,
1957,140,
1958,145,
1959,142,
1960,140,
1961,143,
1962,143,
1963,138,
1964,139,
1965,136,
1966,137,201
1967,135,207
1968,142,210
1969,133,202
1970,130,185
1971,138,188
1972,135,190
1973,136,185
1974,133,167
1975,129,162
1976,140,167
1977,134,168
1978,130,164
1979,129,155
1980,132,154
1981,129,146
1982,128,149
1983,129,142
1984,130,149
1985,134,154
1986,127,144
1987,131,145
1988,128,144
1989,129,144
1990,128,145
1991,131,144
1992,128,143
1993,129,145
1994,127,141
1995,129,145
1996,129,147
1997,130,146
1998,127,143
1999,129,143
2000,129,146
2001,129,143
2002,129,140
2003,130,145
2004,130,144
2005,131,145
2006,127,143
2007,134,149
2008,127,145
2009,128,152
2010,125,146
2011,123,142
2012,132,151
2013,130,146
2014,128,138
2015,129,139
2016,132,144
2017,129,149
